index,line_nos,transcript_file,audio_file,transcript,tokens
line 11 corpus10.txt,line 11,corpus10.txt,200701-162550_yor_7f4_elicit_10.wav,Ohun tí eèrá bá lè gbé ní ńpè ní ìgànnìkó. ## Whatever the ant is able to carry is what it says is its full measure.,"[14, 7, 20, 13, 19, 31, 4, 28, 17, 27, 1, 27, 11, 28, 6, 1, 29, 13, 31, 36, 15, 28, 13, 31, 30, 6, 26, 13, 13, 30, 10, 33, 22, 7, 0, 19, 4, 21, 4, 17, 19, 7, 4, 0, 13, 19, 8, 18, 0, 1, 11, 4, 19, 14, 2, 0, 17, 17, 24, 8, 18, 22, 7, 0, 19, 8, 19, 18, 0, 24, 18, 8, 18, 8, 19, 18, 5, 20, 11, 11, 12, 4, 0, 18, 20, 17, 4]"
line 12 corpus10.txt,line 12,corpus10.txt,200701-162550_yor_7f4_elicit_11.wav,"Ohun tí ìrẹ̀-ẹ́ ṣe tó fi kán lápá, aláàńtèté ní kí wọ́n jẹ́ kí òun ó ṣe è. ## That which the cricket attempted and broke a thigh, the aláàńtètè asks to be permitted to attempt.","[14, 7, 20, 13, 19, 31, 30, 17, 40, 40, 39, 4, 19, 33, 5, 8, 10, 27, 13, 11, 27, 15, 27, 0, 11, 27, 26, 36, 19, 28, 19, 29, 13, 31, 10, 31, 22, 41, 13, 9, 40, 10, 31, 32, 20, 13, 33, 39, 4, 28, 19, 7, 0, 19, 22, 7, 8, 2, 7, 19, 7, 4, 2, 17, 8, 2, 10, 4, 19, 0, 19, 19, 4, 12, 15, 19, 4, 3, 0, 13, 3, 1, 17, 14, 10, 4, 0, 19, 7, 8, 6, 7, 19, 7, 4, 0, 11, 27, 26, 36, 19, 28, 19, 28, 0, 18, 10, 18, 19, 14, 1, 4, 15, 4, 17, 12, 8, 19, 19, 4, 3, 19, 14, 0, 19, 19, 4, 12, 15, 19]"
line 13 corpus10.txt,line 13,corpus10.txt,200701-162550_yor_7f4_elicit_12.wav,Ohun tí kò tó okòó kì í jẹ àgbà níyà. ## A thing that is not worth the least amount of money should not prove a hardship for an elder.,"[14, 7, 20, 13, 19, 31, 10, 32, 19, 33, 14, 10, 32, 33, 10, 30, 31, 9, 40, 26, 6, 1, 26, 13, 31, 24, 26, 0, 19, 7, 8, 13, 6, 19, 7, 0, 19, 8, 18, 13, 14, 19, 22, 14, 17, 19, 7, 19, 7, 4, 11, 4, 0, 18, 19, 0, 12, 14, 20, 13, 19, 14, 5, 12, 14, 13, 4, 24, 18, 7, 14, 20, 11, 3, 13, 14, 19, 15, 17, 14, 21, 4, 0, 7, 0, 17, 3, 18, 7, 8, 15, 5, 14, 17, 0, 13, 4, 11, 3, 4, 17]"
line 14 corpus10.txt,line 14,corpus10.txt,200701-162550_yor_7f4_elicit_13.wav,"Ohun tí wèré fi ńse ara ẹ̀, ó pọ̀ ju ohun tó fi ńṣẹ ọmọ ẹlòmíràn lọ. ## What the imbecile does to himself is far worse than what he does to others.","[14, 7, 20, 13, 19, 31, 22, 28, 17, 29, 5, 8, 36, 18, 4, 0, 17, 0, 40, 33, 15, 41, 9, 20, 14, 7, 20, 13, 19, 33, 5, 8, 36, 39, 40, 41, 12, 41, 40, 11, 32, 12, 31, 17, 26, 13, 11, 41, 22, 7, 0, 19, 19, 7, 4, 8, 12, 1, 4, 2, 8, 11, 4, 3, 14, 4, 18, 19, 14, 7, 8, 12, 18, 4, 11, 5, 8, 18, 5, 0, 17, 22, 14, 17, 18, 4, 19, 7, 0, 13, 22, 7, 0, 19, 7, 4, 3, 14, 4, 18, 19, 14, 14, 19, 7, 4, 17, 18]"
line 15 corpus10.txt,line 15,corpus10.txt,200701-162550_yor_7f4_elicit_14.wav,"Ohun tó ṣeé faga là ńfaga sí; èwo ni,“Ìwòyí àná mo ti na ànaà mi fága-fàga”? ## One boasts only about things proper to boast about; whoever heard of the boast, “By this time yesterday I had given my parent-in-law the beating of his life.”?","[14, 7, 20, 13, 19, 33, 39, 4, 29, 5, 0, 6, 0, 11, 26, 36, 5, 0, 6, 0, 18, 31, 28, 22, 14, 13, 8, 30, 22, 32, 24, 31, 26, 13, 27, 12, 14, 19, 8, 13, 0, 26, 13, 0, 26, 12, 8, 5, 27, 6, 0, 5, 26, 6, 0, 14, 13, 4, 1, 14, 0, 18, 19, 18, 14, 13, 11, 24, 0, 1, 14, 20, 19, 19, 7, 8, 13, 6, 18, 15, 17, 14, 15, 4, 17, 19, 14, 1, 14, 0, 18, 19, 0, 1, 14, 20, 19, 22, 7, 14, 4, 21, 4, 17, 7, 4, 0, 17, 3, 14, 5, 19, 7, 4, 1, 14, 0, 18, 19, 1, 24, 19, 7, 8, 18, 19, 8, 12, 4, 24, 4, 18, 19, 4, 17, 3, 0, 24, 8, 7, 0, 3, 6, 8, 21, 4, 13, 12, 24, 15, 0, 17, 4, 13, 19, 8, 13, 11, 0, 22, 19, 7, 4, 1, 4, 0, 19, 8, 13, 6, 14, 5, 7, 8, 18, 11, 8, 5, 4]"
line 16 corpus10.txt,line 16,corpus10.txt,200701-162550_yor_7f4_elicit_15.wav,Ojú àlejò la ti ńjẹ gbèsè; ẹ̀hìn-in ẹ̀ là ńsan án. ## It is in a visitor's presence that one gets into debt; it is in her absence that one repays the debt.,"[14, 9, 35, 26, 11, 4, 9, 32, 11, 0, 19, 8, 36, 9, 40, 6, 1, 28, 18, 28, 40, 7, 30, 13, 8, 13, 40, 11, 26, 36, 18, 0, 13, 27, 13, 8, 19, 8, 18, 8, 13, 0, 21, 8, 18, 8, 19, 14, 17, 18, 15, 17, 4, 18, 4, 13, 2, 4, 19, 7, 0, 19, 14, 13, 4, 6, 4, 19, 18, 8, 13, 19, 14, 3, 4, 1, 19, 8, 19, 8, 18, 8, 13, 7, 4, 17, 0, 1, 18, 4, 13, 2, 4, 19, 7, 0, 19, 14, 13, 4, 17, 4, 15, 0, 24, 18, 19, 7, 4, 3, 4, 1, 19]"
line 17 corpus10.txt,line 17,corpus10.txt,200701-162550_yor_7f4_elicit_16.wav,"Ojú baba ara; awọ́n bí ojú; aṣòró dà bí àgbà. ## The eye, father of the body; nothing is as valuable as the eye; nothing is as difficult to achieve as the status of elder.","[14, 9, 35, 1, 0, 1, 0, 0, 17, 0, 0, 22, 41, 13, 1, 31, 14, 9, 35, 0, 39, 32, 17, 33, 3, 26, 1, 31, 26, 6, 1, 26, 19, 7, 4, 4, 24, 4, 5, 0, 19, 7, 4, 17, 14, 5, 19, 7, 4, 1, 14, 3, 24, 13, 14, 19, 7, 8, 13, 6, 8, 18, 0, 18, 21, 0, 11, 20, 0, 1, 11, 4, 0, 18, 19, 7, 4, 4, 24, 4, 13, 14, 19, 7, 8, 13, 6, 8, 18, 0, 18, 3, 8, 5, 5, 8, 2, 20, 11, 19, 19, 14, 0, 2, 7, 8, 4, 21, 4, 0, 18, 19, 7, 4, 18, 19, 0, 19, 20, 18, 14, 5, 4, 11, 3, 4, 17]"
line 18 corpus10.txt,line 18,corpus10.txt,200701-162550_yor_7f4_elicit_17.wav,Ojú iná kọ́ lewùrà ńhurun. ## It is not in the presence of the flame that water-yam grows hair.,"[14, 9, 35, 8, 13, 27, 10, 41, 11, 4, 22, 34, 17, 26, 36, 7, 20, 17, 20, 13, 8, 19, 8, 18, 13, 14, 19, 8, 13, 19, 7, 4, 15, 17, 4, 18, 4, 13, 2, 4, 14, 5, 19, 7, 4, 5, 11, 0, 12, 4, 19, 7, 0, 19, 22, 0, 19, 4, 17, 24, 0, 12, 6, 17, 14, 22, 18, 7, 0, 8, 17]"
line 19 corpus10.txt,line 19,corpus10.txt,200701-162550_yor_7f4_elicit_18.wav,Ojú kì í pọ́n ẹdun kó dẹni ilẹ̀; ìṣẹ́ kì í ṣẹ́ igún kó di ojúgbà adìẹ. ## The colobus monkey is never so reduced in circumstances that it becomes a land-hugging creature; the vulture is never so badly off that it becomes the equal of a chicken.,"[14, 9, 35, 10, 30, 31, 15, 41, 13, 40, 3, 20, 13, 10, 33, 3, 40, 13, 8, 8, 11, 40, 30, 39, 40, 10, 30, 31, 39, 40, 8, 6, 35, 13, 10, 33, 3, 8, 14, 9, 35, 6, 1, 26, 0, 3, 30, 40, 19, 7, 4, 2, 14, 11, 14, 1, 20, 18, 12, 14, 13, 10, 4, 24, 8, 18, 13, 4, 21, 4, 17, 18, 14, 17, 4, 3, 20, 2, 4, 3, 8, 13, 2, 8, 17, 2, 20, 12, 18, 19, 0, 13, 2, 4, 18, 19, 7, 0, 19, 8, 19, 1, 4, 2, 14, 12, 4, 18, 0, 11, 0, 13, 3, 7, 20, 6, 6, 8, 13, 6, 2, 17, 4, 0, 19, 20, 17, 4, 19, 7, 4, 21, 20, 11, 19, 20, 17, 4, 8, 18, 13, 4, 21, 4, 17, 18, 14, 1, 0, 3, 11, 24, 14, 5, 5, 19, 7, 0, 19, 8, 19, 1, 4, 2, 14, 12, 4, 18, 19, 7, 4, 4, 16, 20, 0, 11, 14, 5, 0, 2, 7, 8, 2, 10, 4, 13]"
line 20 corpus10.txt,line 20,corpus10.txt,200701-162550_yor_7f4_elicit_19.wav,Ojú kì í pọ́n baálé ilé kó fọwọ́ gbálẹ̀ ilé ẹ̀. ## A head of a household is never so hard up that he sweeps his compound with his bare hands.,"[14, 9, 35, 10, 30, 31, 15, 41, 13, 1, 0, 27, 11, 29, 8, 11, 29, 10, 33, 5, 41, 22, 41, 6, 1, 27, 11, 40, 8, 11, 29, 40, 0, 7, 4, 0, 3, 14, 5, 0, 7, 14, 20, 18, 4, 7, 14, 11, 3, 8, 18, 13, 4, 21, 4, 17, 18, 14, 7, 0, 17, 3, 20, 15, 19, 7, 0, 19, 7, 4, 18, 22, 4, 4, 15, 18, 7, 8, 18, 2, 14, 12, 15, 14, 20, 13, 3, 22, 8, 19, 7, 7, 8, 18, 1, 0, 17, 4, 7, 0, 13, 3, 18]"
line 21 corpus10.txt,line 21,corpus10.txt,200701-162550_yor_7f4_elicit_20.wav,Ojú kì í pọ́n babaláwo kó bèrè ẹbọ àná. ## An Ifá diviner-priest is never so hard up that he asks for yesterday's sacrifice.,"[14, 9, 35, 10, 30, 31, 15, 41, 13, 1, 0, 1, 0, 11, 27, 22, 14, 10, 33, 1, 28, 17, 28, 40, 1, 41, 26, 13, 27, 0, 13, 8, 5, 27, 3, 8, 21, 8, 13, 4, 17, 15, 17, 8, 4, 18, 19, 8, 18, 13, 4, 21, 4, 17, 18, 14, 7, 0, 17, 3, 20, 15, 19, 7, 0, 19, 7, 4, 0, 18, 10, 18, 5, 14, 17, 24, 4, 18, 19, 4, 17, 3, 0, 24, 18, 18, 0, 2, 17, 8, 5, 8, 2, 4]"
line 22 corpus10.txt,line 22,corpus10.txt,200701-162550_yor_7f4_elicit_21.wav,Ojú kì í pọ́n òkú ọ̀run kó ní kí ará ayé gba òun. ## A dead person cannot be so desperate as to appeal to a living person for deliverance.,"[14, 9, 35, 10, 30, 31, 15, 41, 13, 32, 10, 35, 41, 17, 20, 13, 10, 33, 13, 31, 10, 31, 0, 17, 27, 0, 24, 29, 6, 1, 0, 32, 20, 13, 0, 3, 4, 0, 3, 15, 4, 17, 18, 14, 13, 2, 0, 13, 13, 14, 19, 1, 4, 18, 14, 3, 4, 18, 15, 4, 17, 0, 19, 4, 0, 18, 19, 14, 0, 15, 15, 4, 0, 11, 19, 14, 0, 11, 8, 21, 8, 13, 6, 15, 4, 17, 18, 14, 13, 5, 14, 17, 3, 4, 11, 8, 21, 4, 17, 0, 13, 2, 4]"
line 23 corpus10.txt,line 23,corpus10.txt,200701-162550_yor_7f4_elicit_22.wav,Ojú kì í pọ́nni ká fàbúrò ẹni ṣaya. ## One should not become so desperate that one takes one's younger sister as wife.,"[14, 9, 35, 10, 30, 31, 15, 41, 13, 13, 8, 10, 27, 5, 26, 1, 35, 17, 32, 40, 13, 8, 39, 0, 24, 0, 14, 13, 4, 18, 7, 14, 20, 11, 3, 13, 14, 19, 1, 4, 2, 14, 12, 4, 18, 14, 3, 4, 18, 15, 4, 17, 0, 19, 4, 19, 7, 0, 19, 14, 13, 4, 19, 0, 10, 4, 18, 14, 13, 4, 18, 24, 14, 20, 13, 6, 4, 17, 18, 8, 18, 19, 4, 17, 0, 18, 22, 8, 5, 4]"
line 24 corpus10.txt,line 24,corpus10.txt,200701-162550_yor_7f4_elicit_23.wav,Ojú kì í pọnni ká fàkísà bora. ## One should never be so benighted that one covers oneself in rags.,"[14, 9, 35, 10, 30, 31, 15, 41, 13, 13, 8, 10, 27, 5, 26, 10, 31, 18, 26, 1, 14, 17, 0, 14, 13, 4, 18, 7, 14, 20, 11, 3, 13, 4, 21, 4, 17, 1, 4, 18, 14, 1, 4, 13, 8, 6, 7, 19, 4, 3, 19, 7, 0, 19, 14, 13, 4, 2, 14, 21, 4, 17, 18, 14, 13, 4, 18, 4, 11, 5, 8, 13, 17, 0, 6, 18]"
line 25 corpus10.txt,line 25,corpus10.txt,200701-162550_yor_7f4_elicit_24.wav,Ojú kì í pọ́nni ká pọ́n léhín. ## One's circumstances do not so deteriorate that one becomes red in teeth.,"[14, 9, 35, 10, 30, 31, 15, 41, 13, 13, 8, 10, 27, 15, 41, 13, 11, 29, 7, 31, 13, 14, 13, 4, 18, 2, 8, 17, 2, 20, 12, 18, 19, 0, 13, 2, 4, 18, 3, 14, 13, 14, 19, 18, 14, 3, 4, 19, 4, 17, 8, 14, 17, 0, 19, 4, 19, 7, 0, 19, 14, 13, 4, 1, 4, 2, 14, 12, 4, 18, 17, 4, 3, 8, 13, 19, 4, 4, 19, 7]"
line 26 corpus10.txt,line 26,corpus10.txt,200701-162550_yor_7f4_elicit_25.wav,Ojú ò rọ́lá rí; ó bímọ ẹ̀ ó sọ ọ́ ní Ọláníyọnu. ## A person only newly acquainted with wealth; he has a son and names him Ọlaniyọnu.,"[14, 9, 35, 32, 17, 41, 11, 27, 17, 31, 33, 1, 31, 12, 41, 40, 33, 18, 41, 41, 13, 31, 41, 11, 27, 13, 31, 24, 41, 13, 20, 0, 15, 4, 17, 18, 14, 13, 14, 13, 11, 24, 13, 4, 22, 11, 24, 0, 2, 16, 20, 0, 8, 13, 19, 4, 3, 22, 8, 19, 7, 22, 4, 0, 11, 19, 7, 7, 4, 7, 0, 18, 0, 18, 14, 13, 0, 13, 3, 13, 0, 12, 4, 18, 7, 8, 12, 41, 11, 0, 13, 8, 24, 41, 13, 20]"
line 27 corpus10.txt,line 27,corpus10.txt,200701-162550_yor_7f4_elicit_26.wav,"Ojú ò ti oníṣègùn, ó ní àna òun ńkú lọ. ## The medicine man lacks all shame, he announces that his parent-in-law is dying.","[14, 9, 35, 32, 19, 8, 14, 13, 31, 39, 28, 6, 34, 13, 33, 13, 31, 26, 13, 0, 32, 20, 13, 36, 10, 35, 11, 41, 19, 7, 4, 12, 4, 3, 8, 2, 8, 13, 4, 12, 0, 13, 11, 0, 2, 10, 18, 0, 11, 11, 18, 7, 0, 12, 4, 7, 4, 0, 13, 13, 14, 20, 13, 2, 4, 18, 19, 7, 0, 19, 7, 8, 18, 15, 0, 17, 4, 13, 19, 8, 13, 11, 0, 22, 8, 18, 3, 24, 8, 13, 6]"
line 28 corpus10.txt,line 28,corpus10.txt,200701-162550_yor_7f4_elicit_27.wav,Ojú ti agbọ́ń agbọ́n láfà kò léro. ## Shame upon the wasp; the wasp has a nest but no honey.,"[14, 9, 35, 19, 8, 0, 6, 1, 41, 36, 0, 6, 1, 41, 13, 11, 27, 5, 26, 10, 32, 11, 29, 17, 14, 18, 7, 0, 12, 4, 20, 15, 14, 13, 19, 7, 4, 22, 0, 18, 15, 19, 7, 4, 22, 0, 18, 15, 7, 0, 18, 0, 13, 4, 18, 19, 1, 20, 19, 13, 14, 7, 14, 13, 4, 24]"
line 29 corpus10.txt,line 29,corpus10.txt,200701-162550_yor_7f4_elicit_28.wav,"Òkété pẹ̀lú ọmọ ẹ̀-ẹ́ di ọgbọọgba sínú ihò; nígba tí ìyá ńfehín pàkùrọ́, ọmọ náà ńfehín pa pẹ̀lú. ## The giant bush rat and its child become equals in their hole; the mother cracks palm-nuts with its teeth, and the child does the same thing.","[32, 10, 29, 19, 29, 15, 40, 11, 35, 41, 12, 41, 40, 40, 3, 8, 41, 6, 1, 41, 41, 6, 1, 0, 18, 31, 13, 35, 8, 7, 32, 13, 31, 6, 1, 0, 19, 31, 30, 24, 27, 36, 5, 4, 7, 31, 13, 15, 26, 10, 34, 17, 41, 41, 12, 41, 13, 27, 26, 36, 5, 4, 7, 31, 13, 15, 0, 15, 40, 11, 35, 19, 7, 4, 6, 8, 0, 13, 19, 1, 20, 18, 7, 17, 0, 19, 0, 13, 3, 8, 19, 18, 2, 7, 8, 11, 3, 1, 4, 2, 14, 12, 4, 4, 16, 20, 0, 11, 18, 8, 13, 19, 7, 4, 8, 17, 7, 14, 11, 4, 19, 7, 4, 12, 14, 19, 7, 4, 17, 2, 17, 0, 2, 10, 18, 15, 0, 11, 12, 13, 20, 19, 18, 22, 8, 19, 7, 8, 19, 18, 19, 4, 4, 19, 7, 0, 13, 3, 19, 7, 4, 2, 7, 8, 11, 3, 3, 14, 4, 18, 19, 7, 4, 18, 0, 12, 4, 19, 7, 8, 13, 6]"
