English	Bengali	Tamil	Malayalam	Khmer	Marathi	Panjabi	Burmese	Sinhalese	Telgugu	Gujarati
Stay in a separate room at home, ideally with an attached bathroom, to minimise interaction with the rest of the household. If you are using a shared bathroom, surfaces that you touched should be wiped down before and after use.	বাসার অন্যান্য সদস্যদের সাথে যোগাযোগ যথাসম্ভব কম করার জন্য আলাদা একটি ঘরে থাকুন। আলাদা বাথরুম হলে ভালো হয়। যদি আপনি যে বাথরুম ব্যবহার করছেন সেই বাথরুম অন্যরাও ব্যবহার করে, তাহলে আপনার ব্যবহারের পর (এবং অন্য কারুর ব্যবহারের আগে) যে সব জায়গা আপনি স্পর্শ করেছেন সেই সব জায়গা পরিস্কার করে মুছে ফেলা উচিত।	மற்ற வீட்டுக்காரர்களுடனான தொடர்பைக் குறைக்க, வீட்டிலுள்ள ஒரு தனி அறையில் தங்கியிருங்கள், முடிந்தால் இணைக்கப்பட்ட தனி கழிவறையுடன். நீங்கள் மற்றவர்களுடன் கழிவறையை பகிர்ந்து பயன்படுத்துகிறீர்கள் என்றால், நீங்கள் தொட்ட மேற்பரப்புகள் பயன்பாட்டிற்கு முன்னும் பின்னும் துடைக்கப்பட வேண்டும்.	വീട്ടിലെ ഒരു പ്രത്യേക മുറിയിൽ താമസിക്കുക, അറ്റാച്ചുചെയ്‌ത ബാത്ത്‌റൂം ഉപയോഗിക്കുക , അങ്ങനെ ചെയ്താൽ വീട്ടുകാരുമായുള്ള  സമ്പർക്കം കുറക്കാൻ സാധിക്കും നിങ്ങൾ ഒരു  പൊതുവായ കുളിമുറി ഉപയോഗിക്കുകയാണെങ്കിൽ, ഉപയോഗത്തിന് മുമ്പും ശേഷവും നിങ്ങൾ സ്പർശിച്ച ഉപരിതലങ്ങൾ തുടച്ചു വൃത്തിയാക്കണം	ស្នាក់នៅបន្ទប់ដាច់ដោយឡែកនៅផ្ទះ គំនិតល្អបំផុតគឺមានបន្ទប់ទឹកភ្ជាប់ដើម្បីកាត់បន្ថយការប្រាស្រ័យទាក់ទងជាមួយគ្រួសារដែលនៅក្នុងផ្ទះ។ ប្រសិនបើអ្នកកំពុងប្រើបន្ទប់ទឹករួមគ្នា នោះផ្ទៃដែលអ្នកបានប៉ះគួរតែត្រូវបានជូតយ៉ាងស្អាត និងនៅក្រោយពេលប្រើ។	कुटुंबीयांसोबत कमीत कमी संपर्क व्हावा यासाठी, घरामध्ये वेगळ्या खोलीत, शक्यतो संलग्न बाथरूम असणार्‍या खोलीत रहा. आपण सामायिक बाथरूम वापरत असल्यास, आपण स्पर्श केलेले पृष्ठभाग वापरापूर्वी आणि नंतर पुसून टाकावेत.	ਬਾਕੀ ਪਰਿਵਾਰ ਨਾਲ ਗੱਲਬਾਤ ਨੂੰ ਘੱਟ ਤੋਂ ਘੱਟ ਕਰਨ ਲਈ ਘਰ ਦੇ ਇਕ ਵੱਖਰੇ ਕਮਰੇ ਵਿਚ ਰਹੋ, ਆਦਰਸ਼ਕ ਤੌਰ 'ਤੇ ਇਕ ਜੁੜੇ ਬਾਥਰੂਮ ਨਾਲ. ਜੇ ਤੁਸੀਂ ਸਾਂਝੇ ਬਾਥਰੂਮ ਦੀ ਵਰਤੋਂ ਕਰ ਰਹੇ ਹੋ, ਤਾਂ ਜਿਹੜੀਆਂ ਸਤਹਾਂ ਨੂੰ ਤੁਸੀਂ ਛੂਹਿਆ ਹੈ ਉਨ੍ਹਾਂ ਨੂੰ ਵਰਤੋਂ ਤੋਂ ਪਹਿਲਾਂ ਅਤੇ ਬਾਅਦ ਵਿੱਚ ਸਾਫ਼ ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ.	အိမ်တွင် သီးခြားအခန်းထဲ၌ နေပါ၊ ဖြစ်နိုင်ပါက အခြားအိမ်ထောင်စုဝင်များနှင့် ထိတွေ့မှုကို အနည်းဆုံးလျှော့ချရန် သီးသန့် သန့်စင်ခန်းသုံးပါ။ မျှဝေသုံး သန့်စင်ခန်းကို သုံးနေပါက သင်ထိကိုင်သည့် မျက်နှာပြင်များကို မသုံးမီနှင့် သုံးပြီးနောက် ပွတ်သုတ်ရမည်။	නිවසේ සෙසු කාමර සමඟ අන්තර් ක්‍රියාකාරිත්වය අවම කිරීම සඳහා නිවසේ යා කළ නාන කාමරයක් හිත වෙනම කාමරයක රැඳී සිටින්න. ඔබ හවුල් නාන කාමරයක් භාවිතා කරන්නේ නම්, ඔබ ස්පර්ශ කළ මතුපිට භාවිතයට පෙර සහ පසු පිස දැමිය යුතුය.	ఇంటిలోని మిగిలినవారిని కలవడాన్ని తగ్గించడానికి, అటాచ్డ్ బాత్‌రూమ్‌తో ఉన్న గదిలో విడిగా ఉండండి. మీరు షేర్డ్ బాత్రూమ్ ఉపయోగిస్తుంటే, మీరు తాకిన ఉపరితలాలు ఉపయోగం ముందు మరియు తరువాత తుడవాలి.	ઘરના બાકીના લોકો સાથે ક્રિયાપ્રતિક્રિયા ઘટાડવા માટે, ઘરમાં એક અલગ રૂમમાં રહો, જેમાં ખાસ કરીને એક બાથરૂમ હોય. જો તમે એક કરતા વધારે લોકો દ્વારા ઉપયોગમાં લેવાતા બાથરૂમનો ઉપયોગ કરી રહ્યાં છો, તો જે સપાટીને તમે સ્પર્શ કરો છે તેને ઉપયોગ કરતા પહેલાં અને પછી સાફ કરવું જોઈએ.
Arrange for food, water and other supplies to be placed outside your room for you to collect and bring into the room.	খাবার, জল ও অন্যান্য দরকারের জিনিস দরজার বাইরে রেখে দেওয়ার ব্যবস্থা করুন যেখান থেকে আপনি পরে তুলে নিয়ে ঘরে আনতে পারবেন।	உங்கள் அறைக்கு வெளியே உங்களுக்கு தேவையான உணவு, தண்ணீர் மற்றும் பிற பொருட்களை வைக்க ஏற்பாடு செய்யுங்கள். பிறகு அவற்றை நீங்கள் சேகரித்து அறைக்குள் கொண்டு வரலாம்.	ഭക്ഷണം, വെള്ളം, മറ്റ് സാധനങ്ങൾ എന്നിവ നിങ്ങളുടെ മുറിക്ക് പുറത്ത് വയ്ക്കാൻ ക്രമീകരണം നടത്തിയാൽ നിങ്ങൾക്കു അത്  ശേഖരിച്ചു എടുത്തു കൊണ്ട് വന്നു മുറിയിൽ കൊണ്ടുവരുവാൻ സാധിക്കും	រៀបចំឱ្យមានម្ហូបអាហារទឹក និងសម្ភារៈផ្សេងទៀតដែលត្រូវដាក់នៅខាងក្រៅបន្ទប់របស់អ្នកដើម្បីឱ្យអ្នកប្រមូល និងយកទៅក្នុងបន្ទប់។	अन्न, पाणी आणि इतर वस्तूंची आपल्या खोलीच्या बाहेर ठेवता येतील अशी व्यवस्था करा, जेणेकरून ती आपण स्वत: गोळा करून खोलीत न्याल.	ਇਸ ਦਾ ਪ੍ਰਬੰਧ ਕਰੋ ਕਿ ਤੁਹਾਡਾ ਖਾਣਾ, ਪਾਣੀ ਅਤੇ ਹੋਰ ਸਮਾਨ ਤੁਹਾਡੇ ਕਮਰੇ ਦੇ ਬਾਹਰ ਰੱਖ ਦਿੱਤਾ ਜਾਵੇ ਤਾਂ ਜੋ ਤੁਸੀਂ ਇਸ ਨੂੰ ਲੈ ਕੇ ਕਮਰੇ ਵਿਚ ਲਿਆ ਸਕੋ.	အစားအသောက်၊ ရေနှင့် အခြား လိုအပ်သောပစ္စည်းများကို သင်လှမ်းပြီးနိုင်စေရန် သင့်အခန်းအပြင်တွင် စီစဉ်ထားရပါမည်။	එකතු කර කාමරයට ගෙන ඒම සඳහා ආහාර, ජලය සහ වෙනත් සැපයුම් ඔබේ කාමරයෙන් පිටත තැබීමට කටයුතු සම්පාදනය කරන්න.	మీరు కలెక్ట్ చేసుకోవడానికి మరియు గదిలోకి తీసుకురావడానికి మీ గది వెలుపల ఆహారం, నీరు మరియు ఇతర సామాగ్రిని ఉంచడానికి ఏర్పాట్లు చేయండి.	તમારા રૂમમાં એકઠું કરી શકાય અને લાવી શકાય તે માટે તમારા રૂમની બહાર ખોરાક, પાણી અને અન્ય પુરવઠા મૂકવા માટેની વ્યવસ્થા કરો.
Minimise contact with your family members, especially seniors at home, until you are informed of a negative swab test result.	যতক্ষণ আপনার সোয়াব পরীক্ষার ফলাফল না জানতে পারছেন, ততক্ষন আপনার পরিবারের সদস্যদের সাথে বিশেষত বয়স্কদের সাথে যোগাযোগ যতটা সম্ভব কম রাখুন।	பரிசோதனை முடிவு உங்களுக்கு அறிவிக்கப்படும் வரை, உங்கள் குடும்ப உறுப்பினர்களுடன், குறிப்பாக வீட்டில் மூத்தவர்களுடன் தொடர்பைக் குறைக்கவும்.	നെഗറ്റീവ് കൈലേസിൻറെ ഫലത്തെക്കുറിച്ച് നിങ്ങളെ അറിയിക്കുന്നതുവരെ നിങ്ങളുടെ കുടുംബാംഗങ്ങളുമായുള്ള, പ്രത്യേകിച്ച് വീട്ടിലെ മുതിർന്നവരുമായുള്ള സമ്പർക്കം കുറയ്ക്കുക.	បន្ថយជាអប្បបរមានូវទំនាក់ទំនងជាមួយសមាជិកគ្រួសាររបស់អ្នក ជាពិសេសមនុស្សវ័យចំណាស់នៅផ្ទះរហូតដល់អ្នកត្រូវបានជូនដំណឹងអំពីលទ្ធផលតេស្តអវិជ្ជមាន។	आपल्या कुटुंबातील सदस्यांशी, विशेषत: ज्येष्ठांशी, संपर्क कमी करा जोपर्यंत आपणास नकारात्मक स्वॅब चाचणीच्या परिणामाची माहिती दिली जात नाही.	ਆਪਣੇ ਪਰਿਵਾਰਕ ਮੈਂਬਰਾਂ, ਖ਼ਾਸਕਰ ਘਰ ਵਿੱਚ ਬਜ਼ੁਰਗਾਂ ਦੇ ਨਾਲ ਸੰਪਰਕ ਘੱਟੋ ਘੱਟ ਕਰੋ, ਜਦੋਂ ਤੱਕ ਤੁਹਾਨੂੰ ਸਕਾਰਾਤਮਕ ਸਵੈਬ ਟੈਸਟ ਦੇ ਨਤੀਜੇ ਦੀ ਜਾਣਕਾਰੀ ਨਹੀਂ ਮਿਲ ਜਾਂਦੀ.	တို့ဘတ်နမူနာအရ ပိုးမရှိတော့ဟု မသိရမချင်း သင့်မိသားစုဝင်များ အထူးသဖြင့် လူကြီးများနှင့် ထိတွေ့မှုကို အနည်းဆုံး လျှော့ချပါ။	ඍණාත්මක සොබ් පරීක්ෂණ ප්‍රතිඵලයක් පිළිබඳව ඔබට දැනුම් දෙන තුරු ඔබේ පවුලේ සාමාජිකයන්, විශේෂයෙන් නිවසේ සිටින ජ්‍යෙෂ්ඨයන් සමඟ සම්බන්ධතා අවම කරන්න.	మీకు నెగిటివ్ స్వాబ్ టెస్ట్ వచ్చేంత వరకు మీ ఇంటిలోని కుటుంబసభ్యులను, మరిముఖ్యంగా పెద్దవారిని తాకడాన్ని కనిష్టం చేయండి.	જ્યાં સુધી તમને નેગેટિવ સ્વેબ પરીક્ષણ પરિણામની જાણ ન થાય, ત્યાં સુધી તમારા પરિવારના સભ્યો, ખાસ કરીને ઘરના વરિષ્ઠો સાથે સંપર્ક ઓછો કરો.
Take Charge of Your Health	আপনার স্বাস্থ্যের প্রতি খেয়াল রাখুন	உங்கள் உடல்நலத்திற்கு பொறுப்பேற்கவும்	നിങ്ങളുടെ ആരോഗ്യത്തിന്റെ ചുമതല    സ്വയം  ഏറ്റെടുക്കുക	សូមទទួលបន្ទុកសុខភាពរបស់អ្នក	आपल्या आरोग्याची जबाबदारी स्वीकारा	ਆਪਣੀ ਸਿਹਤ ਦੀ ਜ਼ਿੰਮੇਵਾਰੀ ਲਓ	သင့်ကျန်းမာရေးကို သင်တာဝန်ယူပါ	ඔබේ සෞඛ්‍යය ගැන සැලකිලිමත් වෙන්න	మీ ఆరోగ్యం పట్ల శ్రద్ధ వహించండి	પોતાના સ્વાસ્થ્યનું ધ્યાન રાખવાની જવાબદારી લો.
Maintain good personal hygiene, including washing your hands with soap and water frequently, avoid touching your eyes, nose and mouth, and covering your mouth when coughing or sneezing.	নিজস্ব পরিষ্কার পরিচ্ছন্নতা বজায় রাখুন। ঘন ঘন সাবান ও জল দিয়ে হাত পরিস্কার করুন। চোখ, নাক ও মুখে হাত দেবেন না। হাঁচি এবং কাশি হলে মুখ ঢাকুন।	தனிப்பட்ட சுகாதாரத்தை பராமரிக்கவும் சோப் மற்றும் தண்ணீரைகொண்டு உங்கள் கைகளை அடிக்கடி கழுவுவும். உங்கள் கண்கள், மூக்கு மற்றும் வாயைத் தொடுவதைத் தவிர்க்கவும் இருமும்போதோ அல்லது தும்மும்போதோ உங்கள் வாயை மூடுவும்.	ഇടയ്ക്കിടെ സോപ്പും വെള്ളവും ഉപയോഗിച്ച് കൈ കഴുകുക, നിങ്ങളുടെ കണ്ണുകൾ, മൂക്ക്, വായ എന്നിവ തൊടുന്നത് ഒഴിവാക്കുക, ചുമയോ തുമ്മുകയോ ചെയ്യുമ്പോൾ വായ മൂടുക എന്നിവ ഉൾപ്പെടെയുള്ള നല്ല വ്യക്തിശുചിത്വം പാലിക്കുക.	សូមថែរក្សាអនាម័យផ្ទាល់ខ្លួនឱ្យបានល្អ រួមទាំងលាងដៃជាមួយសាប៊ូ និងទឹកឱ្យបានញឹកញាប់ជៀសវាងការប៉ះភ្នែក ច្រមុះ និងមាត់ និងគ្របមាត់ពេលក្អក ឬកណ្តាស់។	आपले हात साबणाने आणि पाण्याने वारंवार धुणे यासह, आपली डोळे, नाक आणि तोंड स्पर्श न करणे आणि खोकताना किंवा शिंकताना तोंड झाकून घ्यावे यासह चांगली वैयक्तिक स्वच्छता ठेवा.	ਵਧੀਆ ਤਰੀਕੇ ਨਾਲ ਨਿੱਜੀ ਸਫਾਈ ਬਣਾਈ ਰੱਖੋ, ਜਿਸ ਵਿੱਚ ਆਪਣੇ ਹੱਥ ਅਕਸਰ ਸਾਬਣ ਅਤੇ ਪਾਣੀ ਨਾਲ ਧੋਣਾ ਸ਼ਾਮਲ ਹੈ, ਆਪਣੀਆਂ ਅੱਖਾਂ, ਨੱਕ ਅਤੇ ਮੂੰਹ ਨੂੰ ਛੂਹਣ ਤੋਂ ਬਚੋ, ਅਤੇ ਖੰਘ ਜਾਂ ਛਿੱਕ ਆਉਣ ਵੇਲੇ ਆਪਣੇ ਮੂੰਹ ਨੂੰ ਕਵਰ ਕਰੋ.	သင့်လက်ကို ဆပ်ပြာနှင့် ရေတို့ဖြင့် မကြာခဏ ဆေးကြောခြင်း၊ သင့်မျက်လုံးများ၊ နှာခေါင်းနှင့် ပါးစပ်ကို ထိကိုင်ခြင်းအပြင် ချောင်းဆိုး သို့မဟုတ် နှာချေချိန်တွင် သင့်ပါးစပ်ကို အုပ်ထားခြင်း အပါအဝင် ကောင်းမွန်သော တစ်ကိုယ်ရေ သန့်ရှင်းရေးအလေ့အထကို ကျင့်သုံးပါ။	නිතරම සබන් හා වතුරෙන් අත් සේදීම, ඔබේ ඇස්, නාසය සහ මුඛය ස්පර්ශ කිරීමෙන් වැළකීම, කැස්ස හෝ කිවිසුම් යන විට ඔබේ මුඛය ආවරණය කිරීම ඇතුළුව හොඳ සනීපාරක්ෂාව පවත්වා ගන්න.	మీ చేతులను సబ్బు మరియు నీటితో తరచుగా శుభ్రం చేసుకోవడం, మీ కళ్లు, ముక్కు మరియు నోటిని తాకుండా ఉండటం, మరియు దగ్గినప్పుడు లేదా తుమ్మినప్పుడు మీ నోటికి అడ్డుపెట్టుకోవడంతో సహా మంచి వ్యక్తిగత పరిశుభ్రతను పాటించండి.	તમારા હાથને વારંવાર સાબુ અને પાણીથી ધોવાનું, તમારી આંખો, નાક અને મોં ને સ્પર્શ કરવાનું ટાળવાનું અને ઉધરસ અથવા છીંક આવે ત્યારે તમારા મોં ને ઢાંકવા સહિત સારી વ્યક્તિગત સ્વચ્છતા જાળવવી.
Don’t share any food, crockery, utensils and other personal hygiene items.	কোনও খাবার, বাসনপত্র এবং অন্যান্য ব্যক্তিগত ব্যবহারের জিনিস অন্যের সাথে ভাগ করবেন না।	உணவு,பாத்திரங்கள் மற்றும் பிற தனிப்பட்ட சுகாதாரப் பொருட்களைப் பகிர வேண்டாம்.	ഭക്ഷണം, ക്രോക്കറി, പാത്രങ്ങൾ, മറ്റ് വ്യക്തിഗത ശുചിത്വ ഇനങ്ങൾ എന്നിവ പങ്കിടരുത്.	សូមកុំចែករំលែកអាហារឧបករណ៍ធ្វើម្ហូប ឧបករណ៍ប្រើប្រាស់ និងរបស់របរផ្ទាល់ខ្លួនដែលមានអនាម័យផ្ទាល់ខ្លួន។	कोणतेही अन्न, क्रोकरी, भांडी आणि इतर वैयक्तिक स्वच्छता गोष्टी सामायिक करू नका.	ਖਾਣਾ, ਕਰੌਕਰੀ, ਬਰਤਨ ਅਤੇ ਹੋਰ ਨਿੱਜੀ ਸਫਾਈ ਦੀਆਂ ਚੀਜ਼ਾਂ ਨੂੰ ਸਾਂਝਾ ਨਾ ਕਰੋ.	အစားအသောက်၊ ပန်းကန်များ၊ အသုံးအဆောင်များနှင့် အခြားတစ်ကိုယ်ရေ သန့်ရှင်းရေး ပစ္စည်းများကို မျှမသုံးပါနှင့်။	ආහාර, පිඟන් කෝප්ප, උපකරණ සහ වෙනත් පෞද්ගලික සනීපාරක්ෂක භාණ්ඩ කිසිවක් බෙදා නොගන්න.	ఆహారం, క్రాకరీ, పాత్రలు మరియు ఇతర వ్యక్తిగత పరిశుభ్రత వస్తువులను పంచుకోవద్దు.	કોઈપણ ખાદ્ય પદાર્થ, ક્રોકરી, વાસણો અને અન્ય વ્યક્તિગત આરોગ્યપ્રદ વસ્તુઓ શેર કરશો નહીં.
Continue to take the medications prescribed for you (if any).	আপনার জন্য নির্ধারিত ওষুধগুলি (যদি থাকে তবে) খাওয়া চালিয়ে যান।	உங்களுக்காக பரிந்துரைக்கப்பட்ட மருந்துகள் ஏதேனும் இருந்தால், தொடர்ந்து உட்கொள்ளுங்கள்.	നിങ്ങൾക്കായി നിർദ്ദേശിച്ചിട്ടുള്ള മരുന്നുകൾ കഴിക്കുന്നത് തുടരുക (എന്തെങ്കിലും ഉണ്ടെങ്കിൽ).	សូមបន្តប្រើថ្នាំដែលបានកំណត់សម្រាប់អ្នក (បើមាន) ។	आपल्यासाठी लिहून दिलेली औषधे (जर काही असेतील तर) घेणे सुरू ठेवा.	ਤੁਹਾਡੇ ਵਾਸਤੇ ਤਜਵੀਜ਼ ਕੀਤੀਆਂ ਦਵਾਈਆਂ ਨੂੰ ਲੈਣਾ ਜਾਰੀ ਰੱਖੋ (ਜੇ ਕੋਈ ਹੈ).	သင့်အတွက် ညွှန်းထားသည့် ဆေးဝါးများ (ရှိပါက) ကို ဆက်တိုက် သောက်သုံးပါ။	ඔබ සඳහා නියම කර ඇති ඖෂධ දිගටම ගන්න (ඇත්නම්).	మీకు సూచించిన మందులను తీసుకోవడం కొనసాగించండి (ఏవైనా ఉంటే).	તમારા માટે સૂચવેલ દવાઓ (જો કોઈ હોય તો) લેવાનું ચાલુ રાખો.
Drink sufficient fluids.	যথেষ্ট পরিমাণে পানি পান করবেন।	​போதுமான தண்ணீர் குடிக்கவும்	ആവശ്യത്തിന് ദ്രാവകങ്ങൾ കുടിക്കുക.	សូមផឹកទឹកឱ្យបានគ្រប់គ្រាន់។	पुरेसे द्रव पदार्थ प्या.	ਕਾਫ਼ੀ ਤਰਲ ਪਦਾਰਥ ਪੀਓ.	အရည်လောက်လောက် သောက်ပါ။	ප්‍රමාණවත් තරල බොන්න.	తగినమొత్తంలో ద్రవాలు తాకండి.	પૂરતા પ્રમાણમાં પ્રવાહી પીવો.
Continue to monitor your temperature and symptoms at home.	বাড়িতে আপনার শরীরের তাপমাত্রা এবং রোগের লক্ষণগুলির প্রতি খেয়াল করবেন।	வீட்டிலேயே உங்கள் வெப்பநிலை மற்றும் அறிகுறிகளை தொடர்ந்து கண்காணிக்கவும்.	വീട്ടിൽ നിങ്ങളുടെ താപനിലയും ലക്ഷണങ്ങളും നിരീക്ഷിക്കുന്നത് തുടരുക.	សូមបន្តតាមដានសីតុណ្ហភាព និងរោគសញ្ញារបស់អ្នកនៅផ្ទះ។	आपले तापमान आणि लक्षणे यांच्यावर घरी नजर ठेवणे सुरू ठेवा.	ਘਰ ਵਿਚ ਆਪਣੇ ਤਾਪਮਾਨ ਅਤੇ ਲੱਛਣਾਂ ਦੀ ਨਿਗਰਾਨੀ ਕਰਨਾ ਜਾਰੀ ਰੱਖੋ.	အိမ်တွင် သင့်ကိုယ်အပူချိန်နှင့် ရောဂါလက္ခဏာများကို ဆက်တိုက် စောင့်ကြည့်ပါ။	නිවසේදී ඔබේ උෂ්ණත්වය සහ රෝග ලක්ෂණ නිරීක්ෂණය කිරීම දිගටම කරගෙන යන්න.	మీ ఉష్ణోగ్రత మరియు రోగలక్షణాలను ఇంటి వద్ద పర్యవేక్షించడం కొనసాగించండి.	ઘરે તમારા તાપમાન અને લક્ષણોનું નિરીક્ષણ કરવાનું ચાલુ રાખો.
If Your Symptoms Worsen	যদি আপনি অনুভব করেন যে রোগের লক্ষণ আরো খারাপ হচ্ছে 	உங்கள் அறிகுறிகள் மோசமடைந்தால்	നിങ്ങളുടെ ലക്ഷണങ്ങൾ   ക്രമാതീതമായി കൂടുകയാണെങ്കിൽ	ប្រសិនបើរោគសញ្ញារបស់អ្នកកាន់តែអាក្រក់ទៅ ៗ	जर तुमची लक्षणे खराब झाली तर	ਜੇ ਤੁਹਾਡੇ ਲੱਛਣ ਵਿਗੜ ਜਾਂਦੇ ਹਨ	သင့်ရောဂါလက္ခဏာများ ပိုဆိုးလာပါက	ඔබේ රෝග ලක්ෂණ නරක අතට හැරේ නම්	ఒకవేళ రోగలక్షణాలు క్షీణిస్తే	જો તમારા લક્ષણો વધારે ખરાબ થાય છે
If your cough is worsening and you develop breathlessness, or your fever is persistently above 38 degrees Celsius	যদি আপনার ঘন ঘন কাশি, শ্বাসকষ্ট, বা শরীরের তাপমাত্রা 38 ডিগ্রি সেলসিয়াসের বেশি থাকে	உங்கள் இருமல் மோசமடைந்து உங்களுக்கு மூச்சுத் திணறல் ஏற்பட்டால், அல்லது உங்கள் காய்ச்சல் 38 டிகிரி செல்சியஸுக்கு மேல் தொடர்ந்து இருந்தால்.	നിങ്ങളുടെ ചുമ  ക്രമാതീതമായി കൂടുകയാണെങ്കിൽ  അല്ലെങ്കിൽ ശ്വാസതടസം അനുഭവപ്പെടുന്നുണ്ടെങ്കിൽ  , അല്ലെങ്കിൽ നിങ്ങളുടെ എപ്പോഴും  പനി 38 ഡിഗ്രി സെൽഷ്യസിനു  മുകളിലാണെങ്കിൽ	ប្រសិនបើការក្អករបស់អ្នកកាន់តែយ៉ាប់យ៉ឺន ហើយអ្នកវិវត្តទៅជាដង្ហើម ឬគ្រុនរបស់អ្នកក្តៅខ្លាំងលើសពី 38 អង្សាសេ	जर आपला खोकला आणखी वाढत असेल आणि आपल्याला श्वासोच्छवासास त्रास होत असेल किंवा आपला ताप निरंतर 38 डिग्री सेल्सिअसपेक्षा जास्त असेल तर	ਜੇ ਤੁਹਾਡੀ ਖਾਂਸੀ ਵਧ ਰਹੀ ਹੈ ਅਤੇ ਤੁਹਾਨੂੰ ਸਾਹ ਚੜ੍ਹਦਾ ਹੈ, ਜਾਂ ਤੁਹਾਡਾ ਬੁਖਾਰ ਲਗਾਤਾਰ 38 ਡਿਗਰੀ ਸੈਲਸੀਅਸ ਤੋਂ ਉੱਪਰ ਹੈ	သင်ချောင်းပိုဆိုးလာပြီး အသက်ရှူရခက်လာပါက သို့မဟုတ် သင့်ကိုယ်အပူချိန်မှာ 38 ဒီဂရီဆဲလ်စီယပ်အောက် မလျော့ပါက	ඔබේ කැස්ස නරක අතට හැරෙන අතර ඔබට හුස්ම ගැනීමේ අපහසුතාවයක් ඇති වේ නම් හෝ ඔබේ උණ දිගටම සෙල්සියස් අංශක 38 ට වඩා ඉහළින් පවතී නම්	మీ దగ్గు తీవ్రం కావడం మరియు శ్వాసతీసుకోవడం కష్టంగా ఉండటం అభివృద్ధి చెందడం, లేదా మీ జ్వరం విడవకుండా 38 డిగ్రీల సెల్షియస్ ఉంటే	જો તમારી ઉધરસ વધારે ખરાબ થતી જાય છે અને જો તમને હાંફ ચઢતી હોય, અથવા તમારો તાવ સતત 38 ડિગ્રી સેલ્સિયસથી ઉપર હોય
Wear a surgical mask to our Emergency Department.	জরুরি বিভাগে একটি সার্জিক্যাল মাস্ক পরে আসুন।	எங்கள் அவசர சிகிச்சைப் பிரிவுக்கு ​​முக கவசத்தை அணிந்து கொண்டு வாருங்கள்.	ഞങ്ങളുടെ അത്യാഹിത വിഭാഗത്തിൽ വരുമ്പോൾ  ഒരു ശസ്ത്രക്രിയ മാസ്ക് ധരിക്കുക.	សូមពាក់របាំងវះកាត់ដល់ផ្នែកសង្គ្រោះបន្ទាន់របស់យើង។	आमच्या आणीबाणी विभागात सर्जिकल मास्क घाला.	ਤਾਂ ਸਾਡੇ ਸੰਕਟਕਾਲੀਨ ਵਿਭਾਗ ਵਿੱਚ ਜਾਂਦੇ ਸਮੇਂ ਇੱਕ ਸਰਜੀਕਲ ਮਾਸਕ ਪਹਿਨੋ।	ကျွန်ုပ်တို့၏ အရေးပေါ်ဌာနသို့ ခွဲစိတ်ခန်းသုံးနှာခေါင်းစည်း ဝတ်လာပါ။	අපගේ හදිසි ප්‍රතිකාර අංශයේදී ශල්‍ය මුකවාඩමක් පළඳින්න.	మా ఎమర్జెన్సీ డిపార్ట్‌మెంట్‌కు సర్జికల్ మాస్క్ ధరించి రండి.	અમારા ઇમરજન્સી વિભાગમાં એક સર્જિકલ માસ્ક પહેરો.
Do not take public transport. 	পাবলিক ট্রান্সপোর্ট (গণপরিবহন) ব্যবহার করবেন না।	பொது போக்குவரத்தை எடுக்க வேண்டாம்.	പൊതുഗതാഗതം ഉപയോഗിക്കരുത്	សូមកុំប្រើមធ្យោបាយធ្វើដំណើរសាធារណៈ។	सार्वजनिक वाहतूकीतून प्रवास करू नका.	ਸਰਵਜਨਕ ਟ੍ਰਾਂਸਪੋਰਟ ਦੀ ਵਰਤੋਂ ਨਾ ਕਰੋ.	အများသုံးသွားလာရေးယာဉ်များကို မသုံးပါနှင့်။	පොදු ප්‍රවාහනය භාවිතා නොකරන්න.	ప్రజా రవాణా తీసుకోవద్దు.	જાહેર પરિવહનનો ઉપયોગ ન કરો.
