Wikipedia (EN)	English	Vietnamese	Simplified Chinese	Tagalog	Burmese	Kurmanji	Arabic	Swahili	Kibaku	Waha	Bura Pabir	Mandara
https://en.wikipedia.org/wiki/Surgical_mask	face mask	khẩu trang	口罩	face mask	မျက်နှာဖုံး	rûpoşa rûyê	قناع وجه	maski ya uso	sǝr mbuti ata kǝma nǝr likita	ina funta tewa kima	sur mbuta ata kǝma mda	naza hiɗa féke
	fatal	gây tử vong	致命的	nakakamatay	သေစေနိုင်သော	kujer	مميت	kusababisha kifo	ata mǝzi tsi ndɛ	kuza bija	ana tsi mda	naza jà shifa
https://en.wikipedia.org/wiki/Case_fatality_rate	fatality rate	tỷ lệ tử vong	致死率	fatality rate	အသက်သေဆုံးသည့် နှုန်း	rêjeya mirinê	معدل إماتة	kiwango cha vifo	hangkurir nji nam ata mǝzi nti akwa dubu pathlu	kaduka la matuku	hankur mji na mta kamnyar shilku laga	kwakyire urahana a ja ŋane na
https://en.wikipedia.org/wiki/Fever	fever	sốt	发烧	lagnat	အဖျား	tagerm	حمّى	joto mwilini	dzǝ dzǝku	kuza safak	dzikdziku	slakslake
https://en.wikipedia.org/wiki/Flu	flu	bệnh cúm	流感	trangkaso	တုတ်ကွေး (ဖလူ)	persîv	زكام	homa	gyang	kubineke	diyang	makwazhe
https://en.wikipedia.org/wiki/GenBank	GenBank	GenBank	基因库	GenBank	ဂျန်းဘဏ်	GenBank (Banka Genan)	بنك الجينات	GenBank	GenBank	maltinundat bobb tundu	GenBank	nawura jàhà mla nderà ura
https://en.wikipedia.org/wiki/Hand_washing	handwashing	rửa tay	洗手	paghuhugas ng kamay	လက်ဆေးခြင်း	destşûştin	غسل اليدين	kunawa mikono	kǝtsǝ tsai	mboz jivo	kǝci tsi	bàrà erva
https://en.wikipedia.org/wiki/Hospital	hospital	bệnh viện	医院	ospital	ဆေးရုံ	nexweşxane	مستشفى	hospitali	fǝr kuzugu	asbiti	mbwa kudzugu	asibitiye
https://en.wikipedia.org/wiki/Hygiene	hygiene	điều kiện vệ sinh	卫生	palalusugan	ပတ်ဝန်းကျင်သန့်ရှင်းရေး	paqijî	نظافة	usafi	kǝci kǝcikur	tsaɗa	kǝcikǝcikur	càɗa
https://en.wikipedia.org/wiki/Intensive_care_unit	ICU	ICU (chăm sóc tích cực)	重症监护	ICU	အိုင်စီယူ ခေါ် အထူးပြုစုစောင့်ရှောက်ရေး ယူနစ်	Yeka Çavdêriya Tîndar (YÇT)	وحدة العناية المركزة	Chumba cha Wagonjwa Mahututi	ICU	ICU	ICU	ICU
https://en.wikipedia.org/wiki/Immunodeficiency	immunocompromised	suy giảm miễn dịch	免疫功能不全的	immunocompromised	ခုခံအားကျဆင်းနေသော	kêmparêzbendî	منقوص المناعة	upungufu wa kinga mwilini	bwa nǝr kanti kasuwa akwa dza ndɛ nam kura ada kǝthlǝr kal kal	inunda ta kusa tinunda ta malt kuza maghva mundu	bwa na ar nkamta shilku na akwa dza mda na aɗena kǝthlǝr kalkal wa	sawja vuwe na ɓaaaka a ga slera kalkale na
https://en.wikipedia.org/wiki/Immunosuppression	immunosuppressed	ức chế miễn dịch	免疫抑制的	immunosuppressed	ခုခံအား ကျဆင်းနေသော	parêzbendiya tepeserkirî	كابتات المناعة	upungufu wa kinga mwilini	bwa nǝr kanti kasuwa akwa dza ndɛ nam kura ada kǝthlǝr aka dǝna	piɗakaghiva avla kuza	bwa na ar nkamta shilku na akwa dza mda na aɗena kǝthlǝr ka duna wa	ɓaakire ndzeɗa sawja vuwe aɗaba kuza
https://en.wikipedia.org/wiki/In_vitro	in vitro	in vitro (thí nghiệm trong ống nghiệm hoặc trên các mô/cơ thể đã chết)	试管的	in vitro	ကိုယ်ခန္ဓာတွင်း	di ezmûngehê de	في المختبر	nje ya mwili wa binadamu	nkǝrti na kuzugu akwa adai akwadza ndɛ wɛ	gwada tundu an glass	nkǝrta na ar kudzugu na aɗi akwa kuta dza mda wa	nawura gwata kuza at nazu ɓaaka shifa
https://en.wikipedia.org/wiki/In_vivo	in vivo	in vivo (thí nghiệm trên các mô/cơ thể còn sống)	体内的	in vivo	ကိုယ်ခန္ဓာတွင်း	di nav leşê zindî de	في الجسم الحي	ndani ya mwili wa binadamu	nkǝrti na kuzugu akwa dza ndɛ	gwada tundu an thlarpa sakwidi	nkǝrta na ar kudzugu akwa kuta dza mda	nawura gwata kuza at nazu an shifa
https://en.wikipedia.org/wiki/Incubation_period	incubation period	thời kỳ ủ bệnh	潜伏期	incubation period	ပိုးရှင်သန်ပေါက်ပွားသည့် အချိန်ကာလ	dema xuya kirina nîşanên nexweşiyê	فترة حضانة	kipindi ku	saka namtu ndata ngaba ko kasuwa adai	sarta mruka kuza	saka natǝ mda a ngaɓǝla shilku ata dza mda	lokte ye a kuza am vuwe
	infected	bị nhiễm	被感染的	may impeksyon	ရောဂါကူးစက်ခံရသည်	vegirtî	مصاب	inamaambukizi	nam aka kasuwa	kisafta	kǝɓa ka shilku	gyegavan kuza
https://en.wikipedia.org/wiki/Infection	infection	sự nhiễm bệnh	感染	impeksyon	ကူးစက်ရောဂါ	teşene	عدوى	maambukizi	kasuwar bwa laka dza ndɛ	kas tunda kuza	shilku ata dza mda natu maɗa suayeri na raka natu nca aɗena wuta wa an sǝnta	kuza am vuwe
https://en.wikipedia.org/wiki/Influenza	influenza	bệnh cúm	流感	trangkaso	ဖလူ/တုတ်ကွေးရောဂါ	înfluenza	الأنفلونزا	homa ya mapafu	Gyang	kuza kubneke	diyang	makwazhé
	information	thông tin	信息	impormasyon	အချက်အလက်	agahî	معلومات	habari	labar	habara	labar	labare
	intervention	can thiệp	干预	pamamagitan	ကြားဝင်စွက်ဖက်မှု	têkilîkirin	تدخل	kuingilia kati	ʻya su ata kǝra su	wativa klafal anga vala tala nda kuza	vu kǝr akwa dlara ka hara kudzugur su naɗi	mela ge gula zlaɗa ge ndahana a shatire palàsa na
	IPC	IPC	感染防控	IPC	ကူးစက်ရောဂါ ကာကွယ်တားဆီးရေး နှင့် ထိန်းချုပ်ရေး (အိုင်ပီစီ)	Rêlêgirtin û Venêrîna Teşeneyê (RVT)	مكافحة العدوى والوقاية منها	Kuzua Maambukizi na Kudhibiti	IPC	IPC	IPC	IPC
https://en.wikipedia.org/wiki/Isolation_(health_care)	isolation	cách ly	隔离	pag-isolate	သီးခြားခွဲထားခြင်း	vederkirin	العزل	pweke	ndǝɦǝba ndɛ ta ndǝta ƙǝɓa kǝka nji damwayere	fata njaɗa ndundu	ndǝgǝmta kǝr kamnyar nkamta kǝɓa ka mji damwa	tla ire
https://en.wikipedia.org/wiki/Lopinavir	LPV	LPV	肺保护性通气	LPV	အဆုတ်ကာကွယ်ရေး အသက်ရှူမှု (အယ်လ်ပီဗွီ)	Badarî ji bo Parastina Sîhê	تهوية واقية للرئة	Kuruhusu hewa Kukinga Mapafu	LPV	LPV	LPV	LPV
	medical	y tế	医学的	medikal	ဆေးဖက်ဆိုင်ရာ	bijîşkî	طبي	ya kimatibabu	su nam tara tsukwar bwar lapiyakur	anga ghwini	su na tsukwa lapiyakur dza mda	hyepa maga kurgune kuza
https://en.wikipedia.org/wiki/Surgical_mask	medical mask	khẩu trang y tế	医用口罩	medical mask	ဆေးရုံသုံး မျက်နှာဖုံး	rûpoşa bijîşkî	قناع طبي	maski ya kimatibabu	sǝr mbuti ata kǝma nǝr likita	ina ta funta Dokta tewa kima	sur mbuta ata kǝma mda na ar likita	naza hiɗa féke nda slera asibitiye
https://en.wikipedia.org/wiki/Medicine	medicine	thuốc	药物	gamot	ဆေးဝါး	derman	طبي	dawa	kuzugu	ghwini	kudzugu	kurgune
https://en.wikipedia.org/wiki/Middle_East_respiratory_syndrome	MERS	MERS	中东呼吸综合征	MERS	အရှေ့အလယ်ပိုင်း အသက်ရှူလမ်းကြောင်းဆိုင်ရာ ရောဂါလက္ခဏာစု (အမ်အီးအာရ်အက်စ်)	Nîşana Henaseyê ya Rojhilata Navîn (MERS)	متلازمة الشرق الأوسط التنفسية	Ugonjwa wa Kupumua wa Mashariki ya Kati	MERS	MERS	MERS	MERS
https://en.wikipedia.org/wiki/Misinformation	misinformation	tin giả	错误信息	maling impormasyon	အချက်အလက်မှား	agahiyên çewt	معلومات خاطئة	habari potofu	gari ko labar nam kura jǝri	habararha bewo	labar na aɗi jir wa	féla labare kalkalenka na
	morbidity rate	tỷ lệ nhiễm	发病率	dami ng nagkasakit	ရောဂါကြောင့် လူနာဖြစ်သည့်နှုန်း	rêjeya nexweşîtiyê	معدلات الإصابة بالمرض	kiwango cha kutokea kwa ugonjwa	hankurir nji nam ata mǝzi bui kasuwa laka	kaduka la nda kuza	hankur mji na a tsoktǝ wutǝ shilku laga	kwakyire emndahana tà naba shansha kuza ŋanna
https://en.wikipedia.org/wiki/Mortality_rate	mortality rate	tỷ lệ tử vong	死亡率	dami ng namatay	အသေအပျောက်နှုန်း	rêjeya nemanîtiyê	معدل الوفيات	kiwango cha vifo	hangkurir nji nam tara nti akuyaka kasuwa laka	kaduka la matata	hankur mji na mta kamnyar shilku laga	kwakyire ndahana tà mtsahe aɗaba kuza ŋanna
	muscle pain	đau cơ	肌肉疼痛	pananakit ng kalamnan	ကြွက်သားနာကျင်ခြင်း	êşa masûlkan	ألم عضلات	maumivu ya misuli	kalɛ tubaw bǝrda	kuza ghabajaka	kǝtǝr kumǝr dza	waa hyewa vuwe
https://en.wikipedia.org/wiki/Novel_coronavirus	nCoV	ARDS	新型冠状病毒	nCoV	ရုတ်တရက်ပြင်းထန်သည့် အသက်ရှူလမ်းကြောင်းကို ဒုက္ခပေးသည့်ရောဂါ သွင်ပြင်လက္ခဏာ	nCoV: Vîrûsa Koronayê ya Nû	فيروس كورونا المستجد	Virusi vya Korona
https://en.wikipedia.org/wiki/Novel_coronavirus	novel coronavirus	vi rút chủng mới	新型冠状病毒	novel coronavirus	နိုဗယ် ကိုရိုနာဗိုင်းရပ်စ်	vîrûsa Koronayê ya nû	فيروس الكورونا المستجد	virusi vya kwanza vya korona	kasuwa nam bǝlin nǝr korona vairus	habara kuza coronavirus	koronavairus na bǝlin	labare coronavirus
	older people	người cao tuổi	长者	matatanda	အသက်ပိုကြီးသူများ	kal û pîr	الأشخاص الأكبر سناً	watu wazee	nji hal haliyere	nguzakha undu	mji na hal	emgyegwar-mala
	openwho	openWHO	openWHO	openwho	အိုးပင်းဟူး သင်တန်း	OpenWHO: aplikasiyona xwendinê ya Rêxistina Tenduristiyê ya Cîhanî	منصة التعلم المفتوحة لمنظمة الصحة العالمية	openwho	OpenWHO	openwho	OpenWHO	openwho
https://en.wikipedia.org/wiki/Disease_outbreak	outbreak	sự bùng phát	爆发	paglaganap	ရုတ်တရက် ပေါ်ပေါက်ခြင်း	derketina nexweşiyê	تفشي	mlipuko	sǝbar kasuwa akwa ntsa nji	faraghva ina	wutusǝr shilku akwa nca mji	kya kuza
https://en.wikipedia.org/wiki/Pandemic	pandemic	đại dịch	流行病	pandemiko	ကမ္ဘာအနှံ့ရောဂါဖြစ်ပွားခြင်း	belaya cîhanî	وباء عالمي	mlipuko wa ugonjwa	kasuwa nam ada sǝba ka dza tsi nji hangkurari akwa vi hang akwa dunya	kuza undsma	shilku na mdlǝta di wala tsǝɗi	kuza zlama kǝlaawa
https://en.wikipedia.org/wiki/Powered_air-purifying_respirator	PAPR	PAPR	动力过滤式呼吸器	PAPR	ပီအေပီအာရ်	NAPB: Nefeşkêşka Amêrger a ji bo Paqijkirina Bayê	كمامات تنقية الهواء التي تعمل بالطاقة	Kipumuzi kilichotiwa nguvu na Hewa	PAPR	PAPR	PAPR	PAPR
https://en.wikipedia.org/wiki/Pathogen	pathogen	mầm bệnh	病原体	pathogen	ရောဂါဖြစ်စေသော ပစ္စည်း	nexweşxere	عامل مسبب للمرض	pathojeni	su nkidi nkidu nam ada si aka kulangakur	inundat sangat kuza	maɗa suayeri na ana sǝntǝ shilku	aza sawan kuza
https://en.wikipedia.org/wiki/Patient	patient	bệnh nhân	病人	pasyente	လူနာ	nexweş	مريض	mgonjwa	ndǝ nam kula nga	unda kol yanga	mda na ngawa	urana lapikana
https://en.wikipedia.org/wiki/Positive_end-expiratory_pressure	PEEP	PEEP	呼气末正压	PEEP	အသက်ရှူထုတ်မှုအဆုံးတွင် အပေါင်းလက္ခဏာပြသည့် ဖိအား	Pestankirina Bêhn-Berdan a Erênî	ضغط نهاية الزفير الايجابي	Shinikizo la mwisho wa kupumua	PEEP	PEEP	PEEP	PEP
	peripheral oxygen saturation	độ bão hòa oxy trong máu ngoại vi	血氧饱和度	peripheral oxygen saturation	ခန္ဓာကိုယ်အစွန်အဖျားရှိ ဆံချည်မျှင်သွေးကြောများတွင်းရှိ အောက်ဆီဂျင် ပြင်းအား	têrbûna oksîjena çarkînarî	التشبع المحيطي بالأكسجين	oksijeni ya kuongezwa	su tara tsukar bwar mwarǝr masi akwa dza ndɛ	mbaɗa uɓas maghva	hankur shambar na ar mpika nakwa mamshi	zlalava úzhe am vuwe
	person under investigation	người đang được điều tra (PUI)	调查病例	person under investigation	စောင့်ကြည့်ခံနေရသူ	kesê binî peygerînê	شخص خاضع للتحقيق	Mtu aliye katika ukaguzi wa kimatibabu	ndɛ namtu ndada ʻya sǝr ngabasu ata kǝrari	undunda ta nighal kuza ngana tadiya	mda natǝ mda aɗi kuri ngaɓǝla abbǝr an COVID-19 wa	urana a zhara lapiyira na nde na
	person under monitoring	người đang được theo dõi (PUM)	监控病例	person under monitoring	စောင့်ကြည့်ခံနေရသူ	kesê binî zêrevanîkirinê	شخص خاضع للرقابة	Mtu aliye katika Ufuatiliaji	ndɛ namtu ndata kǝra ɓǝlatǝni akuyaka ngabasu ata kǝrari ko ata kǝra su	undunda ti zorlo	mda natǝ mda akwa ɓǝla ni kamnyar tsa tsukwari wala kǝɓa ka mdǝ damwa naka COVID19	urana a faɦyema ɗe atuwe ge jemhe ane an dade kuza na
https://en.wikipedia.org/wiki/Personal_protective_equipment	personal protective equipment	Thiết bị bảo hộ cá nhân	个人防护装备	personal protective equipment	တစ်ကိုယ်ရည် ကာကွယ်ရေး ကိရိယာ	Amûra Parastinê ya Kesane	معدات الوقاية الشخصية	kifaa cha kujinga	kariyir kanti ta ndǝta bui ko kǝɓa aka kasuwa	karyunda ti mog la thlina asbit thlina ndede	kariyeri ar nkamta kǝr ta kǝɓa ka shilku	kazlaŋe a fa hyema ge ira nda maga slera lapiyire
https://en.wikipedia.org/wiki/Pneumonia	pneumonia	viêm phổi	肺炎	pulmonya	နူမိုနီးယား	neks	الالتهاء الرؤي	nimonia	kasuwar nimoniya	pneumonia	shilkǝr nimoniya	nimoniya
https://en.wikipedia.org/wiki/Powered_air-purifying_respirator	Powered Air-Purifying Respirator	Mặt nạ phòng độc	动力过滤式呼吸器	Powered Air-Purifying Respirator	စွမ်းအားမြင့် လေထုသန့်စင်ပေးသည့် အသက်ရှူအားကူစက်	Nefeskêşka Amêrger a ji bo Paqijkirina Bayê	كمامات تنقية الهواء التي تعمل بالطاقة	Kipumuzi kilichotiwa nguvu na Hewa	kariyere namtu njir ɓǝla lapiyakur ada hati kadubar wul nji nam kulanga	kariyunda ta suɗuta la mog thlina sabiti	kariyeri natǝ mjir ɓǝla lapiyakur ana ha kamnyar wul mji na ngawa	naŋgyúwé nda zhera lapiyire nda kuza ŋanna
