English	Bengali	Vietnamese	Tamil	Fillipino	Hindi
It is normal to worry about how COVID-19 might affect you or your loved ones. In 80% of cases, infections from COVID-19 are usually mild and do not even need any treatment. There is a chance of deterioration due to the virus, which happens more commonly in the elderly population or in those with significant pre-existing medical conditions. Only 5% of patients will require ICU care including breathing support or medications to support their blood pressure.	কোভিড -১৯ কীভাবে আপনাকে বা আপনার প্রিয়জনকে প্রভাবিত করতে পারে তা নিয়ে চিন্তিত হওয়া স্বাভাবিক। ৮0% ক্ষেত্রে, কোভিড -১৯ থেকে সংক্রমণ সাধারণত হালকা হয় এবং এমনকি কোনও চিকিত্সার প্রয়োজন হয় না। ভাইরাসজনিত কারণে ক্ষয় হওয়ার সম্ভাবনা রয়েছে যারা বয়স্ক অথবা যাদের অন্যান্য শারীরিক সম্যস্যা আছে। শুধুমাত্র ৫% রোগীদের  আই সি উ এর প্রয়োজন হয় শ্বাস প্রশ্বাসের কষ্ট কমানোর আর রক্তচাপ নিয়ন্ত্রণ করার জন্য।	COVID-19 có thể khiến bạn và gia đình lo lắng. Tuy nhiên, 80% thời gian, nhiễm trùng COVID-19 là nhẹ. Họ thậm chí không cần điều trị. Có một chút rủi ro thiệt hại cho những người già hoặc có vấn đề sức khỏe khác. Chỉ 5% bệnh nhân cần ICU để giúp họ thở.	COVID-19 உங்களையும் உங்கள் குடும்பத்தினரையும் கவலையடையச் செய்யலாம். இருப்பினும், 80% நேரம், COVID-19 நோய்த்தொற்றுகள் லேசானவை. அவர்களுக்கு எந்த சிகிச்சையும் கூட தேவையில்லை. வயதானவர்கள் அல்லது பிற உடல்நலப் பிரச்சினைகள் உள்ளவர்களுக்கு சேதம் ஏற்படும் அபாயம் உள்ளது. 5% நோயாளிகளுக்கு மட்டுமே சுவாசிக்க உதவுவதற்காக ஐ.சி.யூ தேவைப்படுகிறது.	Maaaring pag-alala ka ng COVID-19 at ng iyong pamilya. Gayunpaman, 80% ng oras, ang mga impeksyon sa COVID-19 ay banayad. Hindi man nila kailangan ng anumang paggamot. May kaunting panganib na mapinsala sa mga may edad o may iba pang mga problema sa kalusugan. 5% lamang ng mga pasyente ang nangangailangan ng ICU para matulungan silang makahinga.	COVID-19 आपको और आपके परिवार को चिंतित कर सकता है। हालांकि, 80% समय, COVID-19 संक्रमण हल्के होते हैं। उन्हें किसी भी उपचार की आवश्यकता नहीं है। जो लोग बूढ़े हैं या स्वास्थ्य संबंधी अन्य समस्याएं हैं, उनके नुकसान का थोड़ा जोखिम है। सांस लेने में मदद के लिए केवल 5% रोगियों को आईसीयू की आवश्यकता होती है।
7. Is there a treatment for COVID-19?	৭. কোভিড -১৯ এর চিকিত্সা আছে?	Có cách điều trị COVID-19 không?	COVID-19 க்கு சிகிச்சை உள்ளதா?	Mayroon bang paggamot para sa COVID-19?	क्या COVID-19 का कोई इलाज है?
Most cases of COVID-19 infections do not require any treatment, and only require medications to alleviate symptoms. There is currently no established treatment for the 5% of patients with severe disease, however there are many clinical trials ongoing which have shown variable success. Even though there is no established treatment, if you do develop severe disease, you will still receive breathing support and will be given medications to support your blood pressure.	কোভিড -১৯ সংক্রমণের বেশিরভাগ ক্ষেত্রে কোনও চিকিত্সার প্রয়োজন হয় না এবং লক্ষণগুলি হ্রাস করার জন্য কেবল ওষুধের প্রয়োজন হয়। গুরুতরভাবে আক্রান্ত ৫% রোগীর জন্য বর্তমানে কোনও প্রতিষ্ঠিত চিকিত্সা নেই, তবে অনেকগুলি ক্লিনিকাল ট্রায়াল চলছে যা পরিবর্তনশীল সাফল্য দেখিয়েছে। যদিও কোনও প্রতিষ্ঠিত চিকিত্সা নেই, আপনি যদি গুরুতর রোগের বিকাশ করেন তবে আপনি শ্বাস-প্রশ্বাসের সমর্থন পাবেন এবং আপনার রক্তচাপকে নিয়ন্ত্রণ করার জন্য ওষুধ দেওয়া হবে।	Hầu hết bệnh nhân COVID-19 không cần điều trị. Họ chỉ cần thuốc trị ho, sốt và các triệu chứng khác. Tuy nhiên, đối với 5% bệnh nhân bị bệnh nặng, không có phương pháp điều trị nào được chứng minh. Tuy nhiên, chúng tôi rất gần để khám phá điều trị. Đừng sợ. Nếu bạn có vấn đề về hô hấp, chúng tôi sẽ sử dụng máy để giúp bạn thở. Chúng tôi sẽ cung cấp cho bạn thuốc cho huyết áp.	COVID-19 இன் பெரும்பாலான நோயாளிகளுக்கு எந்த சிகிச்சையும் தேவையில்லை. அவர்களுக்கு இருமல், காய்ச்சல் மற்றும் பிற அறிகுறிகளுக்கு மட்டுமே மருந்து தேவை. இருப்பினும், மிகவும் நோய்வாய்ப்பட்ட 5% நோயாளிகளுக்கு, நிரூபிக்கப்பட்ட சிகிச்சைகள் எதுவும் இல்லை. இருப்பினும், சிகிச்சையை கண்டுபிடிப்பதற்கு நாங்கள் மிக அருகில் இருக்கிறோம். பயம் கொள்ளாதே. உங்களுக்கு சுவாசிப்பதில் சிக்கல் இருந்தால், நீங்கள் சுவாசிக்க உதவும் ஒரு இயந்திரத்தைப் பயன்படுத்துவோம். இரத்த அழுத்தத்திற்கு நாங்கள் உங்களுக்கு மருந்து தருவோம்.	Karamihan sa mga pasyente ng COVID-19 ay hindi nangangailangan ng anumang paggamot. Kailangan lang nila ng gamot para sa ubo, lagnat at iba pang mga sintomas. Gayunpaman, para sa 5% ng mga pasyente na may sakit, walang mga napatunayan na paggamot. Gayunpaman, malapit na kami upang matuklasan ang paggamot. Huwag kang matakot. Kung mayroon kang mga problema sa paghinga ay gumagamit kami ng isang makina upang matulungan kang huminga. Bibigyan ka namin ng gamot para sa presyon ng dugo.	OVID-19 के अधिकांश रोगियों को किसी भी उपचार की आवश्यकता नहीं होती है। उन्हें केवल खांसी, बुखार और अन्य लक्षणों के लिए दवा की आवश्यकता होती है। हालांकि, 5% रोगियों के लिए जो बहुत बीमार हैं, कोई सिद्ध उपचार नहीं हैं। हालांकि, हम इलाज की खोज के बहुत करीब हैं। डरो नहीं। यदि आपको सांस लेने में समस्या है तो हम आपको सांस लेने में मदद करने के लिए एक मशीन का उपयोग करेंगे। हम आपको रक्तचाप की दवा देंगे।
8. How much do I have to pay for my treatment?	৮. আমার চিকিত্সার জন্য আমাকে কত টাকা দিতে হবে?	Tôi sẽ phải trả bao nhiêu cho Điều trị?	சிகிச்சைக்கு நான் எவ்வளவு செலுத்த வேண்டும்?	Magkano ang babayaran ko para sa Paggamot?	मुझे उपचार के लिए कितना भुगतान करना होगा?
As of Singapore Government’s announcement on 7 March 2020, if you are a Singapore Citizen, Singapore resident OR a long term pass holder, your hospital bill will be covered by the Government. This does not apply if you have left Singapore after 27 March 2020 and you are admitted as a suspected COVID-19 case within 14 days of returning.	২০২০ সালের মার্চে সিঙ্গাপুর সরকারের ঘোষণা অনুসারে, আপনি যদি সিঙ্গাপুর নাগরিক হন, সিঙ্গাপুরের বাসিন্দা বা দীর্ঘমেয়াদী পাস হোল্ডার, আপনার হাসপাতালের বিল সরকার কতৃপক্ষ বহন করবে। আপনি যদি ২০২০ সালের ২৭ মার্চ পরে সিঙ্গাপুর ছেড়ে চলে যান এবং আপনি ফিরে আসার ১ ৪ দিনের মধ্যে সন্দেহভাজন কোভিড -১৯ রোগী হিসাবে ভর্তি হন তবে এটি প্রযোজ্য নয়।	Theo thông báo của Chính phủ Singapore, nếu bạn là công dân Singapore, hoặc thường trú nhân, hoặc người giữ thẻ dài hạn, chính phủ sẽ thanh toán. Vì vậy, ngay cả khi bạn có giấy phép làm việc, chính phủ sẽ trả tiền. Nhưng, nếu bạn rời khỏi Singapore sau ngày 27 tháng 3 năm 2020 và được nhận trong vòng 14 ngày kể từ ngày trở về, chính phủ sẽ không thanh toán hóa đơn của bạn.	சிங்கப்பூர் அரசாங்கத்தின் அறிவிப்பின்படி, நீங்கள் சிங்கப்பூர் குடிமகனாகவோ அல்லது நிரந்தர வதிவாளராகவோ அல்லது நீண்ட கால பாஸ் வைத்திருப்பவராகவோ இருந்தால், அரசாங்கம் பணம் செலுத்தும். எனவே உங்களிடம் பணி அனுமதி இருந்தாலும் அரசாங்கம் பணம் செலுத்தும். ஆனால், நீங்கள் 2020 மார்ச் 27 க்குப் பிறகு சிங்கப்பூருக்கு வெளியே சென்று திரும்பி வந்த 14 நாட்களுக்குள் அனுமதிக்கப்பட்டால், அரசாங்கம் உங்கள் கட்டணங்களை செலுத்தாது.	Ayon sa anunsyo ng Pamahalaang Singapore, kung ikaw ay isang mamamayan ng Singapore, o isang permanenteng residente, o isang long term pass holder, babayaran ng gobyerno. Kaya&#39;t kung mayroon kang isang permit sa trabaho, babayaran ng gobyerno. Ngunit, kung lumabas ka sa Singapore pagkatapos ng 27 Marso 2020 at nakakuha sa loob ng 14 na araw ng pagbabalik, hindi babayaran ng gobyerno ang iyong mga bayarin.	सिंगापुर सरकार की घोषणा के अनुसार, यदि आप सिंगापुर के नागरिक हैं, या एक स्थायी निवासी, या दीर्घकालिक पास धारक हैं, तो सरकार भुगतान करेगी। इसलिए अगर आपके पास वर्क परमिट है तो भी सरकार भुगतान करेगी। लेकिन, यदि आप 27 मार्च 2020 के बाद सिंगापुर से बाहर चले गए और लौटने के 14 दिनों के भीतर भर्ती हो गए, तो सरकार आपके बिलों का भुगतान नहीं करेगी।
9. I am worried about missing so much work. Will my boss fire me?	৯. আমি আমার কাজ নিয়ে খুবই চিন্তিত, আমার বস কি আমাকে বাদ দিয়ে দিবে?	Tôi lo lắng về việc không làm việc. Tôi sẽ mất việc?	நான் வேலை செய்யாததைப் பற்றி கவலைப்படுகிறேன். நான் என் வேலையை இழக்கலாமா?	Nag-aalala ako tungkol sa hindi gumana. Mawawalan ba ako ng trabaho?	मुझे काम नहीं करने की चिंता है। क्या मेरे द्वारा अपनी नौकरी गवां दी जाएगी?
Your employer is legally mandated to allow your quarantine/treatment. Your employer is also legally bound to continue to pay your salaries even if you are not allowed to leave your dormitory during this Circuit Breaker period. If your employer does not pay your salary within 7 days of the end of the salary period, he can be prosecuted by the Singapore Government.	আপনার নিয়োগকর্তাকে আইনিভাবে আপনার বিচ্ছিন্নতা / চিকিত্সা করার অনুমতি দেওয়া হয়েছে। আপনার সার্কিট ব্রেকার সময়কালে আপনার ছাত্রাবাস ছেড়ে যাওয়ার অনুমতি না দেওয়া সত্ত্বেও আপনার নিয়োগকর্তা আইনত আপনার বেতন প্রদান অব্যাহত রাখতে বাধ্য। যদি আপনার নিয়োগকর্তা বেতন সময়সীমা শেষ হওয়ার ৭ দিনের মধ্যে আপনার বেতন পরিশোধ না করেন, তবে সিঙ্গাপুর সরকার তার বিরুদ্ধে মামলা করতে পারে।	Chủ lao động của bạn phải cho phép bạn đối xử với pháp luật. Nhà tuyển dụng phải trả lương cho bạn ngay cả khi bạn không thể làm việc ngay bây giờ. Nếu tiền lương của bạn không được trả kịp thời, Chính phủ Singapore có thể có hành động chống lại chủ lao động.	உங்கள் சிகிச்சையை சட்டப்படி உங்கள் முதலாளி அனுமதிக்க வேண்டும். நீங்கள் இப்போது வேலை செய்ய முடியாவிட்டாலும் உங்கள் சம்பளத்தை முதலாளி செலுத்த வேண்டும். உங்கள் சம்பளம் சரியான நேரத்தில் செலுத்தப்படாவிட்டால், சிங்கப்பூர் அரசு முதலாளிக்கு எதிராக நடவடிக்கை எடுக்க முடியும்.	Dapat pahintulutan ng iyong employer ang iyong paggamot sa batas. Kailangang bayaran ng employer ang iyong suweldo kahit na hindi ka makatrabaho ngayon. Kung ang iyong suweldo ay hindi nababayaran nang napapanahon, ang Pamahalaang Singapore ay maaaring kumilos laban sa employer.	आपके नियोक्ता को कानून द्वारा आपके उपचार की अनुमति है। अगर आपको अभी काम नहीं करना है तो भी नियोक्ता को आपका वेतन देना होगा। यदि आपके वेतन का समय पर भुगतान नहीं किया जाता है, तो सिंगापुर सरकार नियोक्ता के खिलाफ कार्रवाई कर सकती है।
10. I am scared and I want to go home.	১ ০. আমি ভয় পাচ্ছি এবং আমি বাড়ি যেতে চাই।	Tôi sợ và tôi muốn về nhà.	நான் பயப்படுகிறேன், நான் வீட்டிற்கு செல்ல விரும்புகிறேன்.	Natatakot ako at gusto kong umuwi.	मैं डरा हुआ हूं और मैं घर जाना चाहता हूं।
It is natural to be scared and anxious during this period. For the safety of your family, it is imperative that you follow the instructions given to you by your doctors and the Government. The Singapore Government has made arrangements for you so that we can safely treat you, if you test positive for COVID-19, while protecting others. Singapore has good hospitals and treatment here and will endeavour to give you the best medical care possible.	এই সময়কালে ভয় পাওয়া এবং উদ্বিগ্ন হওয়া স্বাভাবিক । আপনার পরিবারের সুরক্ষার জন্য, আপনার চিকিত্সক এবং সরকারের নির্দেশাবলী অনুসরণ করা জরুরী। সিঙ্গাপুর সরকার আপনার জন্য এমন ব্যবস্থা করেছে যাতে আপনি অন্যদের রক্ষা করার সাথেসাথে আপনার কভিড-১৯ এর সুচিকিৎসাও নিশ্চিত। সিঙ্গাপুরের চিকিত্সা ব্যবস্হা অনেক উন্নত তাই আপনাকে সর্বোত্তম চিকিত্সা দেওয়া হবে।	Đó là điều tự nhiên để sợ hãi và lo lắng trong giai đoạn này. Bạn phải làm theo hướng dẫn của bác sĩ và Chính phủ vì sự an toàn của gia đình bạn. Chính phủ Singapore đã thu xếp, vì vậy chúng tôi có thể điều trị cho bạn một cách an toàn. Singapore có bệnh viện tốt và điều trị ở đây. Chúng tôi sẽ làm hết sức mình để cung cấp cho bạn điều trị tốt nhất có thể.	இந்த காலகட்டத்தில் பயப்படுவதும் கவலைப்படுவதும் இயற்கையானது. உங்கள் குடும்பத்தின் பாதுகாப்பிற்காக மருத்துவர்கள் மற்றும் அரசாங்கத்தின் அறிவுறுத்தல்களை நீங்கள் பின்பற்ற வேண்டும். சிங்கப்பூர் அரசு ஏற்பாடுகளைச் செய்துள்ளது, எனவே நாங்கள் உங்களுக்கு பாதுகாப்பாக சிகிச்சை அளிக்க முடியும். சிங்கப்பூரில் இங்கு நல்ல மருத்துவமனைகள் மற்றும் சிகிச்சைகள் உள்ளன. உங்களுக்கு சிறந்த சிகிச்சையை வழங்க நாங்கள் எங்களால் முடிந்த அனைத்தையும் செய்வோம்.	Ito ay natural na matakot at balisa sa panahong ito. Dapat mong sundin ang mga tagubilin ng mga doktor at Pamahalaan para sa kaligtasan ng iyong pamilya. Ang Pamahalaang ng Singapore ay gumawa ng mga pag-aayos, kaya maaari naming ligtas na mabigyan ka ng paggamot. Ang Singapore ay may magagandang ospital at paggamot dito. Gagawin namin ang aming makakaya upang mabigyan ka ng pinakamahusay na paggamot sa maaari.	इस अवधि के दौरान डर और चिंता होना स्वाभाविक है। आपको अपने परिवार की सुरक्षा के लिए डॉक्टरों और सरकार के निर्देशों का पालन करना चाहिए। सिंगापुर सरकार ने व्यवस्था की है, इसलिए हम आपको सुरक्षित उपचार दे सकते हैं। सिंगापुर में यहां अच्छे अस्पताल और इलाज हैं। हम आपको यथासंभव सर्वोत्तम उपचार देने की पूरी कोशिश करेंगे।
11. How can I make sure I do not get infected with COVID-19?	১১. আমি কীভাবে নিশ্চিন্ত হতে পারি যে আমি কোভিড -১৯ এ আক্রান্ত হয়নি?	Làm thế nào tôi có thể ngăn ngừa nhiễm trùng COVID-19?	COVID-19 நோய்த்தொற்றை எவ்வாறு தடுப்பது?	Paano ko maiiwasan ang COVID-19 Infection?	मैं COVID-19 संक्रमण को कैसे रोक सकता हूं?
Fortunately, there are some preventive measures you can take to minimise the risk of infection. They are:	ভাগ্যক্রমে, সংক্রমণের ঝুঁকি হ্রাস করতে আপনি নিতে পারেন এমন কিছু প্রতিরোধমূলক ব্যবস্থা । তা হ'ল:	May mắn thay, có một số hành động bạn có thể thực hiện để giảm thiểu nguy cơ nhiễm trùng. Đó là:	அதிர்ஷ்டவசமாக, நோய்த்தொற்றின் அபாயத்தைக் குறைக்க நீங்கள் எடுக்கக்கூடிய சில நடவடிக்கைகள் உள்ளன. அவை:	Sa kabutihang palad, may ilang mga pagkilos na maaari mong gawin upang mabawasan ang panganib ng impeksyon. Ang mga ito ay:	सौभाग्य से, संक्रमण के जोखिम को कम करने के लिए आप कुछ क्रियाएं कर सकते हैं। वे हैं:
1. Thoroughly washing your hands with soap and water for at least 20 seconds.	১. আপনার হাত সাবান এবং জল দিয়ে কমপক্ষে ২ ০ সেকেন্ডের জন্য ভাল করে ধুয়ে নিন।	1. Rửa tay kỹ bằng xà phòng và nước trong ít nhất 20 giây.	1. சோப்பு மற்றும் தண்ணீரில் உங்கள் கைகளை குறைந்தது 20 விநாடிகள் கழுவ வேண்டும்.	1. Malinis na hugasan ang iyong mga kamay gamit ang sabon at tubig nang hindi bababa sa 20 segundo.	1. कम से कम 20 सेकंड के लिए साबुन और पानी से अपने हाथों को धोना।
